Year,Volcanic Explosivity Index,Volcano Type,Flag Tsunami,Flag Earthquake,Name and Country
1280 dC,6.0,Caldera,False,False,Quilotoa (Ecuador)
1540 dC,4.0,Arandela De Cúpula,True,False,Augustine (United States)
1660 dC,6.0,Volcán Complejo,True,False,Long Island (Papua New Guinea)
1858 dC,0.0,Estratovolcán,False,True,Tate-yama (Japan)
1864 dC,2.0,Estratovolcán,False,False,Kelut (Indonesia)
1873 dC,2.0,Estratovolcán,False,False,Ragang (Philippines)
1902 dC,3.0,Estratovolcán,False,False,Tori-shima (Japan)
1907 dC,2.0,Volcán En Escudo,False,False,Alayta (Ethiopia)
1909 dC,2.0,Estratovolcán,False,False,Semeru (Indonesia)
1919 dC,4.0,Estratovolcán,False,False,Kelut (Indonesia)
1919 dC,0.0,Estratovolcán,False,False,Nasu (Japan)
1920 dC,3.0,Estratovolcán,False,False,Izalco (El Salvador)
1938 dC,0.0,Estratovolcán,False,False,Bandai (Japan)
1949 dC,3.0,Estratovolcán,False,False,Villarrica (Chile)
1963 dC,3.0,Estratovolcán,False,False,Fuego (Guatemala)
1968 dC,3.0,Estratovolcán,False,False,Mayon (Philippines)
1985 dC,3.0,Estratovolcán,False,False,Semeru (Indonesia)
1992 dC,2.0,Volcán Complejo,False,False,Marapi (Indonesia)
2001 dC,2.0,Estratovolcán,False,False,Stromboli (Italy)
2004 dC,4.0,Estratovolcán,False,False,Manam (Papua New Guinea)
2010 dC,0.0,Estratovolcán,True,True,Sarigan (United States)
2018 dC,2.0,Estratovolcán,False,True,Etna (Italy)
2020 dC,0.0,Estratovolcán,False,False,Taal (Philippines)
1357 dC,4.0,Volcán Subglacial,False,False,Katla (Iceland)
1586 dC,5.0,Estratovolcán,False,False,Kelut (Indonesia)
1730 dC,0.0,Cono Piroclástico,False,False,Tseax River Cone (Canada)
1823 dC,0.0,Volcán En Escudo,False,False,Kilauea (United States)
1832 dC,3.0,Estratovolcán,False,False,Merapi (Indonesia)
1838 dC,2.0,Estratovolcán,False,False,Gamalama (Indonesia)
1858 dC,2.0,Estratovolcán,False,False,Mayon (Philippines)
1872 dC,3.0,Caldera,False,False,Aso (Japan)
1879 dC,2.0,Estratovolcán,True,False,Stromboli (Italy)
1893 dC,2.0,Estratovolcán,False,False,Azuma (Japan)
1918 dC,3.0,Volcán Submarino,True,False,Banua Wuhu (Indonesia)
1940 dC,2.0,Estratovolcán,False,False,Miyake-jima (Japan)
1966 dC,3.0,Estratovolcán,True,False,Tinakula (Solomon Is.)
1970 dC,3.0,Estratovolcán,False,False,Hekla (Iceland)
1974 dC,4.0,Estratovolcán,False,False,Fuego (Guatemala)
1975 dC,2.0,Volcán Complejo,False,False,Marapi (Indonesia)
1977 dC,1.0,Caldera,False,False,Krafla (Iceland)
1984 dC,0.0,Volcán Complejo,False,False,On-take (Japan)
1989 dC,0.0,Caldera,False,False,Aso (Japan)
1991 dC,0.0,Volcán Complejo,False,False,Mutnovsky (Russia)
1991 dC,5.0,Estratovolcán,False,False,"Hudson, Cerro (Chile)"
1992 dC,0.0,Volcán Complejo,False,False,Dieng Volc Complex (Indonesia)
1993 dC,2.0,Estratovolcán,False,False,Mayon (Philippines)
1995 dC,0.0,Volcán Complejo,False,False,Kelimutu (Indonesia)
2015 dC,0.0,Arandela De Cúpula,False,False,Okataina (New Zealand)
2018 dC,0.0,Estratovolcán,True,False,Kadovar (Papua New Guinea)
1750 aC,6.0,Estratovolcán,False,False,Veniaminof (United States)
847 dC,6.0,Estratovolcán,False,False,Bona-Churchill (United States)
930 dC,6.0,Estratovolcán,False,False,Ceboruco (Mexico)
1158 dC,4.0,Estratovolcán,False,False,Hekla (Iceland)
1329 dC,1.0,Estratovolcán,False,False,Etna (Italy)
1510 dC,4.0,Estratovolcán,False,False,Hekla (Iceland)
1615 dC,3.0,Caldera,False,False,Banda Api (Pacific Ocean)
1617 dC,3.0,Estratovolcán,False,False,Fuego (Guatemala)
1646 dC,4.0,Estratovolcán,False,False,Makian (Indonesia)
1677 dC,2.0,Estratovolcán,False,False,La Palma (Spain)
1784 dC,0.0,Volcán En Escudo,False,False,Hualalai (United States)
1800 dC,5.0,Estratovolcán,False,False,St. Helens (United States)
1820 dC,2.0,Caldera,False,False,Banda Api (Pacific Ocean)
1827 dC,2.0,Estratovolcán,True,True,Avachinsky (Russia)
1843 dC,2.0,Estratovolcán,False,False,Etna (Italy)
1847 dC,2.0,Volcán Complejo,False,False,Dieng Volc Complex (Indonesia)
1857 dC,0.0,Volcán Complejo,True,True,Umboi (Papua New Guinea)
1866 dC,2.0,Volcán En Escudo,True,False,Ofu-Olosega (United States)
1870 dC,2.0,Estratovolcán,False,False,Ruang (Indonesia)
1870 dC,3.0,Volcán Complejo,False,False,Iliwerung (Indonesia)
1885 dC,3.0,Estratovolcán,False,True,Purace (Colombia)
1897 dC,2.0,Estratovolcán,True,False,Tinakula (Solomon Is.)
1902 dC,4.0,Estratovolcán,True,False,Soufriere St. Vincent (St. Vincent & the Grenadines)
1903 dC,0.0,Volcán En Escudo,False,False,Karthala (Comoros)
1932 dC,3.0,Estratovolcán,False,False,Kusatsu-Shirane (Japan)
1951 dC,2.0,Volcán Submarino,True,False,Kavachi (Solomon Is.)
1971 dC,0.0,Estratovolcán,False,False,Kusatsu-Shirane (Japan)
1991 dC,1.0,Estratovolcán,False,False,Lokon-Empung (Indonesia)
1995 dC,3.0,Volcán Complejo,False,False,Pacaya (Guatemala)
1998 dC,0.0,Volcán En Escudo,False,False,Kilauea (United States)
1999 dC,2.0,Estratovolcán,False,False,Fuego (Guatemala)
2011 dC,3.0,Estratovolcán,False,False,Gamalama (Indonesia)
2017 dC,0.0,Estratovolcán,False,False,Sinabung (Indonesia)
1890 aC,6.0,Estratovolcán,False,False,"Hudson, Cerro (Chile)"
455 aC,4.0,Estratovolcán,False,False,Cotopaxi (Ecuador)
240 dC,6.0,Estratovolcán,False,False,Ksudach (Russia)
1362 dC,5.0,Estratovolcán,False,False,Oraefajokull (Iceland)
1385 dC,3.0,Estratovolcán,False,False,Kelut (Indonesia)
1630 dC,4.0,Estratovolcán,False,False,Furnas (Portugal)
1669 dC,3.0,Estratovolcán,False,True,Etna (Italy)
1670 dC,2.0,Volcán En Escudo,False,False,Aoba (Vanuatu)
1690 dC,3.0,Volcán Complejo,False,False,Guntur (Indonesia)
1766 dC,3.0,Estratovolcán,False,False,Mayon (Philippines)
1780 dC,3.0,Estratovolcán,False,False,Aoga-shima (Japan)
1784 dC,4.0,Caldera,False,False,Grimsvotn (Iceland)
1890 dC,2.0,Estratovolcán,False,False,Victory (Papua New Guinea)
1913 dC,1.0,Volcán Complejo,False,False,Asama (Japan)
1926 dC,3.0,Estratovolcán,False,False,Tokachi (Japan)
1932 dC,4.0,Estratovolcán,False,False,Fuego (Guatemala)
1964 dC,2.0,Estratovolcán,False,False,Villarrica (Chile)
1967 dC,3.0,Caldera,True,False,Deception Island (Antarctica)
1974 dC,2.0,Estratovolcán,False,False,Merapi (Indonesia)
1977 dC,1.0,Estratovolcán,False,False,"Nyiragongo (Congo, DRC)"
1988 dC,3.0,Estratovolcán,False,False,Lonquimay (Chile)
1991 dC,1.0,Volcán Complejo,False,False,Unzen (Japan)
1993 dC,1.0,Estratovolcán,False,False,Guagua Pichincha (Ecuador)
2008 dC,3.0,Estratovolcán,False,False,Tungurahua (Ecuador)
2011 dC,3.0,Estratovolcán,False,False,Nabro (Eritrea)
2013 dC,0.0,Estratovolcán,False,False,Ubinas (Peru)
2014 dC,0.0,Estratovolcán,False,False,Sinabung (Indonesia)
2015 dC,0.0,Estratovolcán,False,False,Sinabung (Indonesia)
416 dC,0.0,Caldera,True,False,Krakatau (Indonesia)
1311 dC,3.0,Estratovolcán,False,False,Kelut (Indonesia)
1410 dC,3.0,Estratovolcán,False,False,Nasu (Japan)
1672 dC,2.0,Estratovolcán,False,False,Fayal (Portugal)
1780 dC,0.0,Estratovolcán,True,False,Sakura-jima (Japan)
1800 dC,2.0,Estratovolcán,False,False,Kieyo (Tanzania)
1803 dC,2.0,Volcán Complejo,False,False,Asama (Japan)
1894 dC,3.0,Escudo Piroclástico,False,False,Ambrym (Vanuatu)
1910 dC,2.0,Estratovolcán,False,False,Usu (Japan)
1911 dC,2.0,Volcán Complejo,False,False,Asama (Japan)
1917 dC,3.0,Estratovolcán,False,True,San Salvador (El Salvador)
1923 dC,0.0,Estratovolcán,False,False,Tangkubanparahu (Indonesia)
1923 dC,2.0,Volcán En Escudo,False,False,Kirishima (Japan)
1929 dC,4.0,Estratovolcán,False,False,Komaga-take (Japan)
1929 dC,3.0,Estratovolcán,False,False,Santa Maria (Guatemala)
1939 dC,1.0,Volcán Submarino,True,False,Kick-'em-Jenny (Netherlands)
1951 dC,3.0,Estratovolcán,False,False,Kelut (Indonesia)
1966 dC,4.0,Estratovolcán,False,False,Awu (Indonesia)
1971 dC,2.0,Estratovolcán,False,False,Villarrica (Chile)
1974 dC,2.0,Arandela De Cúpula,False,False,Niigata-Yake-yama (Japan)
1977 dC,0.0,Volcán En Escudo,False,False,Karthala (Comoros)
1978 dC,2.0,Estratovolcán,False,False,Bulusan (Philippines)
1982 dC,5.0,Cono De Toba,False,False,"Chichon, El (Mexico)"
1986 dC,0.0,Volcán Complejo,False,False,Akita-Yake-yama (Japan)
2001 dC,2.0,Estratovolcán,False,False,Etna (Italy)
2018 dC,1.0,Volcán En Escudo,False,False,Kilauea (United States)
1645 aC,6.0,Caldera,False,False,Aniakchak (United States)
1636 dC,3.0,Estratovolcán,False,False,Hekla (Iceland)
1669 dC,3.0,Estratovolcán,False,False,Etna (Italy)
1698 dC,3.0,Volcán Complejo,True,False,Vesuvius (Italy)
1706 dC,2.0,Estratovolcán,True,False,Tenerife (Spain)
1707 dC,4.0,Estratovolcán,False,True,Fuji (Japan)
1826 dC,2.0,Volcán Complejo,False,False,Dieng Volc Complex (Indonesia)
1832 dC,2.0,Estratovolcán,False,False,Etna (Italy)
1835 dC,5.0,Estratovolcán,False,False,Cosiguina (Nicaragua)
1860 dC,0.0,Caldera,False,False,Grimsvotn (Iceland)
1871 dC,2.0,Estratovolcán,False,False,Gamalama (Indonesia)
1872 dC,4.0,Estratovolcán,False,False,Sinarka (Russia)
1899 dC,4.0,Estratovolcán,False,False,Dona Juana (Colombia)
1905 dC,2.0,Volcán Complejo,False,False,Vesuvius (Italy)
1924 dC,2.0,Volcán En Escudo,False,False,Kilauea (United States)
1931 dC,3.0,Volcán Complejo,False,False,Asama (Japan)
1947 dC,2.0,Estratovolcán,False,False,Mayon (Philippines)
1957 dC,2.0,Estratovolcán,False,True,Vsevidof (United States)
1963 dC,2.0,Caldera,False,False,Batur (Indonesia)
1967 dC,3.0,Estratovolcán,False,False,"Lengai, Ol Doinyo (Tanzania)"
1969 dC,3.0,Estratovolcán,False,False,Iya (Indonesia)
1988 dC,3.0,Estratovolcán,False,False,Semeru (Indonesia)
1990 dC,2.0,Caldera,False,False,Aso (Japan)
1994 dC,0.0,Estratovolcán,False,True,Huila (Colombia)
1999 dC,4.0,Estratovolcán,False,False,Shiveluch (Russia)
1999 dC,3.0,Estratovolcán,False,False,Tungurahua (Ecuador)
2019 dC,2.0,Estratovolcán,False,False,White Island (New Zealand)
920 dC,4.0,Volcán Subglacial,False,False,Katla (Iceland)
1104 dC,5.0,Estratovolcán,False,False,Hekla (Iceland)
1151 dC,1.0,Filas De Cráteres,False,False,Krisuvik (Iceland)
1206 dC,2.0,Estratovolcán,False,False,Hekla (Iceland)
1329 dC,3.0,Estratovolcán,True,True,Etna (Italy)
1485 dC,2.0,Caldera,False,False,Aso (Japan)
1550 dC,3.0,Volcán Complejo,False,False,Dukono (Indonesia)
1576 dC,3.0,Estratovolcán,False,False,Colima (Mexico)
1580 dC,4.0,Volcán Subglacial,False,False,Katla (Iceland)
1598 dC,2.0,Volcán Complejo,False,False,Asama (Japan)
1730 dC,2.0,Grieta De Viento,False,False,Lanzarote (Spain)
1772 dC,3.0,Estratovolcán,False,False,Papandayan (Indonesia)
1781 dC,4.0,Estratovolcán,True,False,Sakura-jima (Japan)
1826 dC,2.0,Caldera,False,False,Aso (Japan)
1840 dC,0.0,Volcán En Escudo,True,False,Kilauea (United States)
1840 dC,3.0,Estratovolcán,False,False,Savo (Solomon Is.)
1850 dC,2.0,Escudo Piroclástico,False,False,Rabaul (Papua New Guinea)
1858 dC,0.0,Estratovolcán,False,False,Tate-yama (Japan)
1883 dC,2.0,Volcán En Escudo,False,False,Karthala (Comoros)
1887 dC,3.0,Estratovolcán,False,False,Mayon (Philippines)
1890 dC,2.0,Estratovolcán,False,False,Makian (Indonesia)
1902 dC,4.0,Estratovolcán,True,False,Pelee (Martinique)
1902 dC,6.0,Estratovolcán,False,False,Santa Maria (Guatemala)
1936 dC,3.0,Volcán Complejo,False,False,Asama (Japan)
1937 dC,2.0,Estratovolcán,False,False,Llaima (Chile)
1943 dC,3.0,Volcán En Escudo,False,False,"Azul, Cerro (Ecuador)"
1951 dC,4.0,Estratovolcán,False,False,Lamington (Papua New Guinea)
1970 dC,0.0,Caldera,False,False,Campi Flegrei (Italy)
1981 dC,3.0,Estratovolcán,False,False,Semeru (Indonesia)
1983 dC,1.0,Volcán Complejo,True,False,Iliwerung (Indonesia)
1985 dC,1.0,Estratovolcán,False,False,Etna (Italy)
1990 dC,3.0,Estratovolcán,False,False,Sabancaya (Peru)
1990 dC,0.0,Estratovolcán,False,False,"Nyiragongo (Congo, DRC)"
1997 dC,3.0,Estratovolcán,False,False,Semeru (Indonesia)
1999 dC,3.0,Estratovolcán,True,False,Soufriere Hills (Montserrat)
2000 dC,2.0,Estratovolcán,False,False,Merapi (Indonesia)
1593 dC,5.0,Estratovolcán,False,False,Raung (Indonesia)
1609 dC,0.0,Cono Piroclástico,False,False,Tengchong (China)
1692 dC,4.0,Estratovolcán,False,False,Serua (Pacific Ocean)
1718 dC,2.0,Estratovolcán,False,False,Pico (Portugal)
1846 dC,0.0,Caldera,False,False,Taupo (New Zealand)
1866 dC,2.0,Volcán En Escudo,False,False,Santorini (Greece)
1877 dC,0.0,Volcán En Escudo,True,True,Mauna Loa (United States)
1883 dC,3.0,Cono De Lavado,False,False,Bagana (Papua New Guinea)
1886 dC,4.0,Volcán En Escudo,False,False,Niuafo'ou (Tonga)
1896 dC,2.0,Volcán En Escudo,False,False,Kirishima (Japan)
1902 dC,4.0,Estratovolcán,True,False,Pelee (Martinique)
1914 dC,0.0,Volcán En Escudo,False,False,Aoba (Vanuatu)
1923 dC,1.0,Estratovolcán,False,False,Papandayan (Indonesia)
1928 dC,2.0,Volcán En Escudo,False,False,Santorini (Greece)
1947 dC,0.0,Estratovolcán,False,False,Akagi (Japan)
1963 dC,5.0,Estratovolcán,True,False,Agung (Indonesia)
1963 dC,2.0,Estratovolcán,False,False,Semeru (Indonesia)
1965 dC,4.0,Estratovolcán,True,False,Taal (Philippines)
1973 dC,3.0,Volcán Submarino,False,False,Vestmannaeyjar (Iceland)
1974 dC,3.0,Estratovolcán,False,False,Karangetang [Api Siau] (Indonesia)
1975 dC,0.0,Volcán En Escudo,True,True,Kilauea (United States)
1982 dC,5.0,Cono De Toba,False,False,"Chichon, El (Mexico)"
1986 dC,3.0,Pero,False,False,Oku Volc Field (Cameroon)
1992 dC,3.0,Estratovolcán,False,False,Semeru (Indonesia)
1994 dC,3.0,Estratovolcán,False,False,Yasur (Vanuatu)
1998 dC,0.0,Estratovolcán,False,False,San Cristobal (Nicaragua)
2004 dC,2.0,Estratovolcán,False,False,Tengger Caldera (Indonesia)
2007 dC,0.0,Estratovolcán,False,False,Huila (Colombia)
2008 dC,0.0,Caldera,False,False,Chaiten (Chile)
2008 dC,3.0,Estratovolcán,True,False,Kasatochi (United States)
2017 dC,0.0,Estratovolcán,False,False,Merapi (Indonesia)
1610 aC,7.0,Volcán En Escudo,True,True,Santorini (Greece)
150 aC,0.0,Volcán Complejo,False,False,St. Andrew Strait (Papua New Guinea)
100 aC,6.0,Volcán En Escudo,False,False,Okmok (United States)
1341 dC,3.0,Estratovolcán,False,False,Hekla (Iceland)
1430 dC,0.0,Caldera,False,False,Kuwae (Vanuatu)
1510 dC,4.0,Estratovolcán,False,False,Hekla (Iceland)
1580 dC,6.0,Escudo Piroclástico,False,False,Billy Mitchell (Papua New Guinea)
1698 dC,3.0,Estratovolcán,False,False,Cereme (Indonesia)
1716 dC,4.0,Estratovolcán,True,True,Taal (Philippines)
1717 dC,3.0,Estratovolcán,False,False,Fuego (Guatemala)
1721 dC,5.0,Volcán Subglacial,False,False,Katla (Iceland)
1819 dC,0.0,Estratovolcán,True,False,Asuncion (United States)
1845 dC,3.0,Estratovolcán,False,False,Ruiz (Colombia)
1895 dC,2.0,Volcán En Escudo,False,False,Kirishima (Japan)
1901 dC,0.0,Estratovolcán,True,True,Epi (Vanuatu)
1907 dC,0.0,Volcán Submarino,True,True,Unnamed (Tonga)
1928 dC,0.0,Caldera,True,False,Krakatau (Indonesia)
1940 dC,2.0,Estratovolcán,False,False,"Lengai, Ol Doinyo (Tanzania)"
1946 dC,2.0,Estratovolcán,False,False,Semeru (Indonesia)
1953 dC,3.0,Estratovolcán,False,False,Merapi (Indonesia)
1954 dC,0.0,Estratovolcán,False,False,Tate-yama (Japan)
1961 dC,2.0,Volcán Complejo,False,False,Asama (Japan)
1962 dC,3.0,Estratovolcán,False,False,Tokachi (Japan)
1963 dC,3.0,Estratovolcán,False,True,Agung (Indonesia)
1969 dC,2.0,Volcán Compuesto,True,False,Didicas (Philippines)
1997 dC,1.0,Estratovolcán,False,False,Karangetang [Api Siau] (Indonesia)
2000 dC,3.0,Estratovolcán,False,False,Semeru (Indonesia)
2009 dC,0.0,Volcán En Escudo,False,False,Kilauea (United States)
2011 dC,0.0,Estratovolcán,False,False,Merapi (Indonesia)
1900 aC,6.0,Estratovolcán,False,False,Black Peak (United States)
1477 dC,6.0,Estratovolcán,False,False,Bardarbunga (Iceland)
1597 dC,3.0,Estratovolcán,False,False,Raung (Indonesia)
1673 dC,5.0,Estratovolcán,True,False,Gamkonora (Indonesia)
1754 dC,4.0,Estratovolcán,True,True,Taal (Philippines)
1768 dC,4.0,Estratovolcán,False,False,Cotopaxi (Ecuador)
1792 dC,2.0,Volcán Complejo,True,True,Unzen (Japan)
1814 dC,4.0,Estratovolcán,False,False,Mayon (Philippines)
1815 dC,7.0,Estratovolcán,True,False,Tambora (Indonesia)
1818 dC,4.0,Estratovolcán,False,False,Colima (Mexico)
1854 dC,3.0,Estratovolcán,True,False,Alaid (Russia)
1863 dC,0.0,Estratovolcán,True,True,Yasur (Vanuatu)
1872 dC,4.0,Estratovolcán,False,False,Merapi (Indonesia)
1884 dC,0.0,Caldera,True,False,Krakatau (Indonesia)
1888 dC,3.0,Estratovolcán,True,False,Ritter Island (Papua New Guinea)
1888 dC,4.0,Estratovolcán,False,False,Bandai (Japan)
1913 dC,2.0,Estratovolcán,False,False,Semeru (Indonesia)
1916 dC,4.0,Estratovolcán,False,False,Tungurahua (Ecuador)
1920 dC,3.0,Estratovolcán,False,False,Merapi (Indonesia)
