Year,Volcanic Explosivity Index,Volcano Type,Flag Tsunami,Flag Earthquake,Name and Country
1923 dC,2.0,Volcanes Submarinos,True,True,"Cendres, Ile des (Vietnam)"
1929 dC,2.0,Estratovolcán,False,False,Etna (Italy)
1939 dC,2.0,Estratovolcán,False,False,Tori-shima (Japan)
1940 dC,2.0,Estratovolcán,False,False,Karangetang [Api Siau] (Indonesia)
1947 dC,2.0,Volcán Complejo,False,False,Asama (Japan)
1957 dC,2.0,Estratovolcán,False,False,Oshima (Japan)
1979 dC,2.0,Caldera,False,False,Aso (Japan)
1980 dC,0.0,Estratovolcán,False,False,Hood (United States)
1989 dC,0.0,Volcán En Escudo,False,False,Kirishima (Japan)
1994 dC,1.0,Caldera,False,False,Aso (Japan)
2001 dC,3.0,Estratovolcán,False,False,Etna (Italy)
2011 dC,2.0,Estratovolcán,False,False,Bulusan (Philippines)
2014 dC,0.0,Estratovolcán,False,False,Kelut (Indonesia)
1370 aC,6.0,Caldera,False,False,Pago (Papua New Guinea)
710 dC,6.0,Caldera,False,False,Pago (Papua New Guinea)
1853 dC,3.0,Estratovolcán,False,False,Mayon (Philippines)
1872 dC,4.0,Estratovolcán,False,False,Merapi (Indonesia)
1878 dC,3.0,Estratovolcán,True,False,Yasur (Vanuatu)
1905 dC,2.0,Volcán En Escudo,True,False,Savai'i (Samoa)
1918 dC,4.0,Volcán Subglacial,False,False,Katla (Iceland)
1944 dC,2.0,Estratovolcán,True,False,Stromboli (Italy)
1952 dC,2.0,Volcán Submarino,True,False,Myojun Knoll (Japan)
1955 dC,4.0,Cono Piroclástico,False,False,Carran-Los Venados (Chile)
1961 dC,3.0,Estratovolcán,False,False,Merapi (Indonesia)
1975 dC,3.0,Estratovolcán,False,False,Arenal (Costa Rica)
1980 dC,3.0,Estratovolcán,False,False,Hekla (Iceland)
1981 dC,2.0,Estratovolcán,False,False,Paluweh (Indonesia)
1988 dC,0.0,Volcán Complejo,False,False,Akita-Yake-yama (Japan)
1991 dC,2.0,Volcán En Escudo,False,False,Karthala (Comoros)
1994 dC,3.0,Estratovolcán,False,False,Merapi (Indonesia)
1995 dC,1.0,Estratovolcán,False,False,Yake-dake (Japan)
2002 dC,0.0,Estratovolcán,True,False,Stromboli (Italy)
2003 dC,3.0,Estratovolcán,True,False,Soufriere Hills (Montserrat)
2010 dC,3.0,Estratovolcán,False,False,Tungurahua (Ecuador)
2018 dC,2.0,Estratovolcán,False,False,Fuego (Guatemala)
1050 aC,6.0,Estratovolcán,False,False,Pinatubo (Philippines)
764 dC,4.0,Estratovolcán,False,False,Sakura-jima (Japan)
766 dC,3.0,Estratovolcán,True,True,Sakura-jima (Japan)
1760 dC,4.0,Estratovolcán,False,False,Makian (Indonesia)
1766 dC,4.0,Estratovolcán,False,False,Hekla (Iceland)
1790 dC,4.0,Volcán En Escudo,False,False,Kilauea (United States)
1803 dC,2.0,Volcán Complejo,False,False,Asama (Japan)
1813 dC,2.0,Volcán Complejo,True,False,Vesuvius (Italy)
1825 dC,3.0,Estratovolcán,False,False,Shishaldin (United States)
1869 dC,2.0,Estratovolcán,False,False,Lamongan (Indonesia)
1883 dC,0.0,Caldera,True,False,Krakatau (Indonesia)
1900 dC,2.0,Volcán Complejo,False,False,Asama (Japan)
1914 dC,0.0,Estratovolcán,False,False,White Island (New Zealand)
1928 dC,3.0,Estratovolcán,True,False,Paluweh (Indonesia)
1952 dC,2.0,Volcán Submarino,True,False,Myojun Knoll (Japan)
1953 dC,0.0,Volcán Complejo,False,False,Sirung (Indonesia)
1963 dC,2.0,Estratovolcán,False,False,Villarrica (Chile)
1976 dC,2.0,Estratovolcán,False,False,Merapi (Indonesia)
1977 dC,3.0,Estratovolcán,False,False,Usu (Japan)
1980 dC,5.0,Estratovolcán,True,True,St. Helens (United States)
1981 dC,0.0,Estratovolcán,False,False,Vilyuchik (Russia)
1985 dC,3.0,Estratovolcán,False,False,Ruiz (Colombia)
1990 dC,3.0,Estratovolcán,False,False,Shiveluch (Russia)
1990 dC,3.0,Estratovolcán,False,False,Santa Maria (Guatemala)
1995 dC,3.0,Estratovolcán,False,False,Yasur (Vanuatu)
2006 dC,1.0,Estratovolcán,False,False,Merapi (Indonesia)
2010 dC,2.0,Estratovolcán,False,False,Eyjafjallajokull (Iceland)
2010 dC,3.0,Estratovolcán,False,False,Tungurahua (Ecuador)
2011 dC,0.0,Volcán Subglacial,False,False,Katla (Iceland)
2015 dC,0.0,Estratovolcán,False,False,Sinabung (Indonesia)
2018 dC,2.0,Escudo Piroclástico,False,True,Ambrym (Vanuatu)
2019 dC,4.0,Estratovolcán,False,False,Manam (Papua New Guinea)
3550 aC,6.0,Estratovolcán,False,False,Pinatubo (Philippines)
1050 dC,0.0,Volcán En Escudo,True,False,Santorini (Greece)
1177 dC,3.0,Volcán Subglacial,False,False,Katla (Iceland)
1595 dC,4.0,Estratovolcán,False,False,Ruiz (Colombia)
1598 dC,3.0,Caldera,False,False,Banda Api (Pacific Ocean)
1638 dC,4.0,Estratovolcán,False,False,Raung (Indonesia)
1659 dC,3.0,Estratovolcán,False,True,San Salvador (El Salvador)
1684 dC,2.0,Caldera,False,False,Grimsvotn (Iceland)
1693 dC,4.0,Estratovolcán,True,False,Hekla (Iceland)
1694 dC,3.0,Caldera,False,False,Banda Api (Pacific Ocean)
1794 dC,3.0,Volcán Complejo,False,False,Vesuvius (Italy)
1800 dC,1.0,Grieta De Viento,False,False,San Jorge (Portugal)
1816 dC,2.0,Caldera,False,False,Aso (Japan)
1817 dC,2.0,Estratovolcán,False,False,Ijen (Indonesia)
1825 dC,0.0,Estratovolcán,False,False,Balbi (Papua New Guinea)
1846 dC,1.0,Estratovolcán,False,False,E-san (Japan)
1875 dC,0.0,Estratovolcán,False,False,Mayon (Philippines)
1889 dC,2.0,Volcán Submarino,True,True,Banua Wuhu (Indonesia)
1912 dC,6.0,Caldera,False,False,Novarupta (United States)
1953 dC,0.0,Volcán Complejo,False,False,Hakone (Japan)
1961 dC,0.0,Estratovolcán,False,False,Daisetsu (Japan)
1964 dC,1.0,Volcán Complejo,False,False,Dieng Volc Complex (Indonesia)
1965 dC,0.0,Volcán Submarino,True,False,Kick-'em-Jenny (Netherlands)
1971 dC,2.0,Estratovolcán,True,False,Tinakula (Solomon Is.)
1976 dC,2.0,Estratovolcán,False,False,Semeru (Indonesia)
1976 dC,2.0,Estratovolcán,False,False,Karangetang [Api Siau] (Indonesia)
1978 dC,3.0,Estratovolcán,False,False,Santa Maria (Guatemala)
1983 dC,2.0,Estratovolcán,False,False,Kliuchevskoi (Russia)
1986 dC,3.0,Estratovolcán,False,False,Oshima (Japan)
1992 dC,2.0,Estratovolcán,False,False,Karangetang [Api Siau] (Indonesia)
2002 dC,3.0,Estratovolcán,False,False,Karangetang [Api Siau] (Indonesia)
2013 dC,3.0,Estratovolcán,False,False,Paluweh (Indonesia)
2013 dC,2.0,Estratovolcán,False,False,Sinabung (Indonesia)
2017 dC,2.0,Estratovolcán,False,False,Sinabung (Indonesia)
2018 dC,1.0,Caldera,True,False,Krakatau (Indonesia)
2019 dC,0.0,Estratovolcán,False,False,Ulawun (Papua New Guinea)
450 dC,6.0,Caldera,False,False,Ilopango (El Salvador)
1565 dC,3.0,Volcán Complejo,False,True,Pacaya (Guatemala)
1716 dC,3.0,Volcán En Escudo,False,False,Kirishima (Japan)
1721 dC,1.0,Volcán Complejo,False,False,Asama (Japan)
1762 dC,2.0,Estratovolcán,False,False,Kliuchevskoi (Russia)
1784 dC,0.0,Estratovolcán,False,False,Sabancaya (Peru)
1786 dC,2.0,Volcán Complejo,False,False,Dieng Volc Complex (Indonesia)
1800 dC,0.0,Volcán Complejo,False,False,Guntur (Indonesia)
1800 dC,0.0,Volcán En Escudo,False,False,Hualalai (United States)
1839 dC,2.0,Volcán Submarino,True,False,Unnamed (Chile)
1861 dC,2.0,Caldera,False,False,Grimsvotn (Iceland)
1878 dC,3.0,Escudo Piroclástico,True,True,Rabaul (Papua New Guinea)
1901 dC,3.0,Estratovolcán,False,False,Kelut (Indonesia)
1911 dC,3.0,Estratovolcán,True,True,Taal (Philippines)
1917 dC,3.0,Estratovolcán,False,False,"Lengai, Ol Doinyo (Tanzania)"
1921 dC,0.0,Estratovolcán,False,False,Nasu (Japan)
1933 dC,0.0,Volcán Complejo,False,False,Hakone (Japan)
1941 dC,2.0,Estratovolcán,False,False,Semeru (Indonesia)
1944 dC,2.0,Estratovolcán,False,False,Usu (Japan)
1947 dC,4.0,Estratovolcán,False,False,Hekla (Iceland)
1976 dC,0.0,Estratovolcán,False,False,Kusatsu-Shirane (Japan)
1979 dC,2.0,Estratovolcán,False,False,Etna (Italy)
1982 dC,4.0,Estratovolcán,False,False,Galunggung (Indonesia)
1988 dC,3.0,Estratovolcán,False,False,Arenal (Costa Rica)
2005 dC,0.0,Volcán En Escudo,False,False,Karthala (Comoros)
2010 dC,0.0,Estratovolcán,False,False,Tengger Caldera (Indonesia)
200 dC,0.0,Campo Volcánico,False,False,"Arhab, Harra of (Yemen)"
640 dC,2.0,Campo Volcánico,False,False,"Uwayrid, Harrat (Saudi Arabia)"
1169 dC,0.0,Estratovolcán,True,False,Etna (Italy)
1600 dC,6.0,Estratovolcán,False,True,Huaynaputina (Peru)
1629 dC,2.0,Caldera,False,False,Grimsvotn (Iceland)
1717 dC,3.0,Estratovolcán,False,False,Bardarbunga (Iceland)
1778 dC,4.0,Estratovolcán,False,False,Raikoke (Russia)
1789 dC,2.0,Estratovolcán,False,False,Oshima (Japan)
1805 dC,2.0,Volcán Complejo,False,False,Vesuvius (Italy)
1829 dC,2.0,Volcán Complejo,False,False,Guntur (Indonesia)
1837 dC,0.0,Volcán Complejo,True,True,Peuet Sague (Indonesia)
1853 dC,2.0,Volcán Submarino,True,False,Unnamed (Taiwan)
1854 dC,2.0,Caldera,False,False,Aso (Japan)
1860 dC,2.0,Estratovolcán,False,False,Semeru (Indonesia)
1871 dC,2.0,Estratovolcán,True,True,Camiguin (Philippines)
1875 dC,5.0,Estratovolcán,False,False,Askja (Iceland)
1886 dC,4.0,Estratovolcán,False,False,Tungurahua (Ecuador)
1886 dC,2.0,Arandela De Cúpula,False,False,Okataina (New Zealand)
1893 dC,4.0,Estratovolcán,False,False,Calbuco (Chile)
1951 dC,3.0,Estratovolcán,False,False,Camiguin (Philippines)
1953 dC,2.0,Volcán Submarino,True,False,Myojun Knoll (Japan)
1957 dC,0.0,Volcán Complejo,False,False,Unzen (Japan)
1981 dC,3.0,Estratovolcán,False,False,Semeru (Indonesia)
1993 dC,0.0,Estratovolcán,False,False,Wurlali (Indonesia)
1993 dC,1.0,Estratovolcán,False,False,Pinatubo (Philippines)
1996 dC,2.0,Estratovolcán,False,False,Kanlaon (Philippines)
2013 dC,0.0,Estratovolcán,False,False,Mayon (Philippines)
2017 dC,0.0,Estratovolcán,False,False,Etna (Italy)
2017 dC,0.0,Volcán Complejo,False,False,Dieng Volc Complex (Indonesia)
141 aC,0.0,Estratovolcán,False,False,Etna (Italy)
1262 dC,3.0,Volcán Subglacial,False,False,Katla (Iceland)
1300 dC,4.0,Estratovolcán,False,False,Hekla (Iceland)
1331 dC,2.0,Caldera,False,False,Aso (Japan)
1714 dC,0.0,Volcán Complejo,True,False,Vesuvius (Italy)
1907 dC,0.0,Volcán En Escudo,True,False,Savai'i (Samoa)
1911 dC,2.0,Volcán Complejo,False,False,Asama (Japan)
1913 dC,4.0,Estratovolcán,False,False,Colima (Mexico)
1944 dC,3.0,Estratovolcán,False,False,Cleveland (United States)
1952 dC,2.0,Volcán Submarino,True,False,Myojun Knoll (Japan)
1960 dC,3.0,Estratovolcán,True,True,Puyehue (Chile)
1971 dC,2.0,Estratovolcán,False,False,La Palma (Spain)
1972 dC,1.0,Estratovolcán,True,False,Ritter Island (Papua New Guinea)
1979 dC,3.0,Estratovolcán,False,False,Soufriere St. Vincent (St. Vincent & the Grenadines)
1983 dC,3.0,Estratovolcán,False,True,Miyake-jima (Japan)
1984 dC,3.0,Estratovolcán,False,False,Etna (Italy)
1990 dC,2.0,Caldera,False,False,Aso (Japan)
1991 dC,2.0,Estratovolcán,False,False,Etna (Italy)
1994 dC,3.0,Estratovolcán,False,False,Semeru (Indonesia)
2007 dC,0.0,Estratovolcán,False,False,Salak (Indonesia)
2017 dC,2.0,Estratovolcán,False,False,Fuego (Guatemala)
2017 dC,0.0,Volcán En Escudo,False,False,Aoba (Vanuatu)
2018 dC,3.0,Volcán En Escudo,False,False,Aoba (Vanuatu)
2019 dC,2.0,Estratovolcán,True,False,Stromboli (Italy)
1550 aC,0.0,Estratovolcán,False,False,Redoubt (United States)
250 aC,6.0,Estratovolcán,False,False,Raoul Island (New Zealand)
1640 dC,5.0,Estratovolcán,True,True,Komaga-take (Japan)
1785 dC,3.0,Estratovolcán,False,False,Aoga-shima (Japan)
1812 dC,3.0,Estratovolcán,False,False,Awu (Indonesia)
1853 dC,0.0,Volcán En Escudo,False,False,Niuafo'ou (Tonga)
1892 dC,2.0,Estratovolcán,False,False,Sorikmarapi (Indonesia)
1917 dC,3.0,Estratovolcán,False,False,Calbuco (Chile)
1938 dC,1.0,Volcán Complejo,False,False,Asama (Japan)
1941 dC,2.0,Volcán Complejo,False,False,Asama (Japan)
1943 dC,4.0,Cono De Ceniza,False,False,Michoacan-Guanajuato (Mexico)
1944 dC,2.0,Volcán Complejo,False,False,Dieng Volc Complex (Indonesia)
1953 dC,1.0,Estratovolcán,False,False,Oshima (Japan)
1973 dC,0.0,Estratovolcán,False,False,"Hudson, Cerro (Chile)"
1990 dC,2.0,Caldera,False,False,Aso (Japan)
1991 dC,6.0,Estratovolcán,False,True,Pinatubo (Philippines)
1992 dC,1.0,Estratovolcán,False,False,Pinatubo (Philippines)
1995 dC,2.0,Estratovolcán,False,False,Fogo (Cape Verde)
1996 dC,3.0,Estratovolcán,False,False,Manam (Papua New Guinea)
2000 dC,0.0,Volcán En Escudo,False,False,Kilauea (United States)
2005 dC,3.0,Estratovolcán,False,False,Santa Ana (El Salvador)
2006 dC,2.0,Estratovolcán,True,False,Soufriere Hills (Montserrat)
2015 dC,0.0,Estratovolcán,False,False,Calbuco (Chile)
2017 dC,0.0,Caldera,False,False,Campi Flegrei (Italy)
2018 dC,0.0,Estratovolcán,False,False,Kadovar (Papua New Guinea)
2018 dC,0.0,Estratovolcán,False,False,Ijen (Indonesia)
4350 aC,7.0,Caldera,False,False,Kikai (Japan)
934 dC,4.0,Volcán Subglacial,False,False,Katla (Iceland)
1250 dC,0.0,Estratovolcán,False,False,Fentale (Ethiopia)
1389 dC,3.0,Estratovolcán,False,False,Hekla (Iceland)
1471 dC,5.0,Estratovolcán,False,False,Sakura-jima (Japan)
1500 dC,4.0,Volcán Subglacial,False,False,Katla (Iceland)
1590 dC,3.0,Estratovolcán,False,False,Colima (Mexico)
1596 dC,2.0,Volcán Complejo,False,False,Asama (Japan)
1606 dC,2.0,Estratovolcán,True,False,Hachijo-jima (Japan)
1712 dC,2.0,Estratovolcán,False,False,Bardarbunga (Iceland)
1716 dC,2.0,Estratovolcán,False,False,Bardarbunga (Iceland)
1737 dC,2.0,Volcán Complejo,False,False,Vesuvius (Italy)
1779 dC,4.0,Estratovolcán,False,False,Sakura-jima (Japan)
1783 dC,4.0,Volcán Complejo,False,False,Asama (Japan)
1822 dC,3.0,Estratovolcán,False,False,Merapi (Indonesia)
1840 dC,3.0,Estratovolcán,False,False,Tinakula (Solomon Is.)
1845 dC,2.0,Estratovolcán,True,True,Soputan (Indonesia)
1847 dC,2.0,Estratovolcán,False,False,Fogo (Cape Verde)
1856 dC,3.0,Estratovolcán,True,True,Awu (Indonesia)
1861 dC,4.0,Estratovolcán,False,False,Makian (Indonesia)
1903 dC,1.0,Arandela De Cúpula,False,False,Okataina (New Zealand)
1951 dC,0.0,Volcán Complejo,False,False,Hakone (Japan)
1954 dC,2.0,Estratovolcán,False,False,Bam (Papua New Guinea)
1958 dC,0.0,Estratovolcán,False,False,Daisetsu (Japan)
1962 dC,2.0,Estratovolcán,False,False,Gamalama (Indonesia)
1969 dC,2.0,Estratovolcán,False,False,Merapi (Indonesia)
1973 dC,3.0,Estratovolcán,False,False,Paluweh (Indonesia)
1974 dC,3.0,Estratovolcán,False,False,Sakura-jima (Japan)
1978 dC,0.0,Estratovolcán,False,False,Tangkubanparahu (Indonesia)
1983 dC,4.0,Estratovolcán,False,False,Colo [Una Una] (Indonesia)
1987 dC,2.0,Estratovolcán,False,False,Etna (Italy)
1994 dC,3.0,Estratovolcán,False,False,Rinjani (Indonesia)
1996 dC,3.0,Caldera,False,False,Grimsvotn (Iceland)
1997 dC,3.0,Estratovolcán,False,False,Soufriere Hills (Montserrat)
1999 dC,3.0,Estratovolcán,False,False,Guagua Pichincha (Ecuador)
2001 dC,2.0,Estratovolcán,False,False,Merapi (Indonesia)
2002 dC,1.0,Estratovolcán,False,False,"Nyiragongo (Congo, DRC)"
2011 dC,0.0,Estratovolcán,False,False,Karangetang [Api Siau] (Indonesia)
2012 dC,0.0,Volcán En Escudo,False,False,Kilauea (United States)
2012 dC,0.0,Volcán En Escudo,False,False,Kilauea (United States)
1631 dC,0.0,Volcán En Escudo,False,True,Dama Ali (Ethiopia)
1659 dC,4.0,Estratovolcán,True,False,Teon (Pacific Ocean)
1664 dC,0.0,Volcán Complejo,True,False,Iwo-Tori-shima (Japan)
1707 dC,0.0,Volcán En Escudo,True,False,Santorini (Greece)
1729 dC,2.0,Caldera,False,False,Krafla (Iceland)
1780 dC,4.0,Estratovolcán,False,False,Sakura-jima (Japan)
1835 dC,0.0,Caldera,False,True,Banda Api (Pacific Ocean)
1843 dC,0.0,Estratovolcán,True,False,Soufriere Guadeloupe (Guadeloupe)
1854 dC,5.0,Estratovolcán,False,False,Shiveluch (Russia)
1856 dC,0.0,Estratovolcán,True,False,Shishaldin (United States)
1860 dC,2.0,Estratovolcán,False,False,Fuego (Guatemala)
1868 dC,0.0,Estratovolcán,True,True,Etna (Italy)
1872 dC,4.0,Estratovolcán,False,False,Merapi (Indonesia)
1875 dC,0.0,Estratovolcán,False,False,Kelut (Indonesia)
1878 dC,0.0,Estratovolcán,True,True,Yasur (Vanuatu)
1909 dC,2.0,Estratovolcán,False,True,"Cameroon, Mt. (Cameroon)"
1914 dC,3.0,Caldera,False,False,Pago (Papua New Guinea)
1917 dC,1.0,Arandela De Cúpula,False,False,Okataina (New Zealand)
1930 dC,2.0,Caldera,True,False,Krakatau (Indonesia)
1930 dC,3.0,Estratovolcán,True,False,Stromboli (Italy)
1934 dC,0.0,Estratovolcán,False,False,Hood (United States)
1946 dC,4.0,Estratovolcán,True,False,Sarychev Peak (Russia)
1954 dC,0.0,Estratovolcán,True,False,Stromboli (Italy)
1955 dC,3.0,Estratovolcán,False,False,Sakura-jima (Japan)
1962 dC,0.0,Estratovolcán,False,False,Merapi (Indonesia)
1990 dC,4.0,Estratovolcán,False,False,Kelut (Indonesia)
1993 dC,1.0,Volcán Complejo,False,False,Unzen (Japan)
2010 dC,3.0,Estratovolcán,False,False,Karangetang [Api Siau] (Indonesia)
2014 dC,0.0,Volcán En Escudo,False,False,Kilauea (United States)
2016 dC,0.0,Estratovolcán,False,False,Sinabung (Indonesia)
2019 dC,4.0,Estratovolcán,False,False,Manam (Papua New Guinea)
2019 dC,0.0,Estratovolcán,False,False,Sinabung (Indonesia)
